,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kaitangata,0.0,NZ,1538143887,67.0,-46.28,169.85,34.66,4.41
1,busselton,32.0,AU,1538143624,100.0,-33.64,115.35,60.94,19.17
2,mahebourg,75.0,MU,1538139600,64.0,-20.41,57.7,75.2,13.87
3,ushuaia,75.0,AR,1538139600,39.0,-54.81,-68.31,46.4,9.17
4,esperance,20.0,TT,1538139600,79.0,10.24,-61.45,86.0,6.93
5,baracoa,88.0,CU,1538144124,94.0,20.35,-74.5,83.17,9.1
7,geraldton,75.0,CA,1538139600,93.0,49.72,-86.95,37.4,5.82
8,port macquarie,8.0,AU,1538139600,77.0,-31.43,152.91,62.6,11.45
9,rikitea,0.0,PF,1538144074,100.0,-23.12,-134.97,71.74,5.41
10,qaanaaq,12.0,GL,1538143965,100.0,77.48,-69.36,14.59,5.19
12,neuquen,75.0,AR,1538139600,100.0,-38.95,-68.06,51.8,4.7
13,butaritari,48.0,KI,1538143961,100.0,3.07,172.79,85.15,8.99
14,cape town,20.0,ZA,1538139600,45.0,-33.93,18.42,64.4,13.87
15,husavik,68.0,CA,1538144134,100.0,50.56,-96.99,34.57,17.49
16,mataura,64.0,NZ,1538143623,64.0,-46.19,168.86,46.72,14.25
17,albany,90.0,US,1538142840,86.0,42.65,-73.75,53.96,4.7
18,antofagasta,75.0,CL,1538139600,63.0,-23.65,-70.4,60.8,8.05
19,kodiak,90.0,US,1538139180,74.0,39.95,-94.76,55.94,10.29
20,tuktoyaktuk,90.0,CA,1538139600,80.0,69.44,-133.03,30.2,24.16
22,pinega,92.0,RU,1538144143,88.0,64.7,43.39,44.74,2.62
23,rawson,0.0,AR,1538144144,65.0,-43.3,-65.11,60.94,18.84
24,tuatapere,36.0,NZ,1538144145,88.0,-46.13,167.69,51.58,23.53
25,chara,75.0,GR,1538142600,52.0,39.42,22.43,64.4,3.36
26,dikson,48.0,RU,1538144148,93.0,73.51,80.55,39.88,4.97
27,angoche,0.0,MZ,1538144149,97.0,-16.23,39.91,80.83,11.23
28,bredasdorp,64.0,ZA,1538139600,40.0,-34.53,20.04,69.8,25.28
29,trincomalee,80.0,LK,1538143964,99.0,8.58,81.23,73.81,4.85
30,georgetown,75.0,GY,1538139600,70.0,6.8,-58.16,86.0,9.17
31,cururupu,100.0,BR,1538144073,66.0,-1.82,-44.87,86.14,14.7
32,kloulklubed,75.0,PW,1538139000,94.0,7.04,134.26,77.0,5.3
33,bethel,90.0,US,1538142780,96.0,60.79,-161.76,53.06,16.11
34,port alfred,0.0,ZA,1538144157,71.0,-33.59,26.89,67.51,22.08
35,araouane,12.0,ML,1538144159,27.0,18.9,-3.53,101.44,4.63
36,khatanga,92.0,RU,1538144160,90.0,71.98,102.47,41.41,16.82
37,new norfolk,0.0,AU,1538141400,75.0,-42.78,147.06,41.0,6.93
38,yellowknife,90.0,CA,1538139600,86.0,62.45,-114.38,30.2,10.29
39,mina,80.0,PH,1538144164,96.0,10.93,122.57,77.05,7.2
41,port hardy,90.0,CA,1538143200,100.0,50.7,-127.42,50.0,3.36
42,praia da vitoria,20.0,PT,1538143200,78.0,38.73,-27.07,77.0,9.55
43,arraial do cabo,75.0,BR,1538139600,83.0,-22.97,-42.02,78.8,11.41
44,novopokrovka,12.0,RU,1538144169,79.0,45.85,134.51,35.02,2.17
45,barrow,68.0,AR,1538143880,95.0,-38.31,-60.23,61.66,18.72
46,bluff,0.0,AU,1538144172,69.0,-23.58,149.07,66.52,9.89
47,touros,0.0,BR,1538143955,65.0,-5.2,-35.46,85.69,17.27
48,alamosa,0.0,US,1538144076,45.0,37.47,-105.87,48.34,2.39
50,east london,0.0,ZA,1538139600,59.0,-33.02,27.91,66.2,31.09
51,jamestown,0.0,AU,1538144177,84.0,-33.21,138.6,39.97,8.66
52,besancon,0.0,FR,1538143200,41.0,47.25,6.02,77.0,11.41
53,dingle,80.0,PH,1538143883,96.0,11.0,122.67,77.05,7.2
54,hithadhoo,92.0,MV,1538143928,100.0,-0.6,73.08,82.18,20.85
56,santa barbara,90.0,US,1538143020,90.0,34.42,-119.7,64.04,3.36
57,ottawa,75.0,CA,1538139600,87.0,45.42,-75.69,55.4,8.05
58,norman wells,75.0,CA,1538139600,92.0,65.28,-126.83,30.2,18.34
60,nanortalik,24.0,GL,1538144187,90.0,60.14,-45.24,39.52,35.84
61,wuda,0.0,CN,1538144188,46.0,39.5,106.72,43.48,6.76
62,namibe,0.0,AO,1538143939,100.0,-15.19,12.15,68.5,7.87
63,punta arenas,0.0,CL,1538139600,98.0,-53.16,-70.91,42.8,10.29
64,nyurba,0.0,RU,1538144191,77.0,63.29,118.35,42.04,5.41
65,saskylakh,80.0,RU,1538143978,96.0,71.97,114.09,33.49,5.41
67,sungaipenuh,24.0,ID,1538143911,88.0,-2.08,101.38,67.51,1.72
68,hobart,40.0,AU,1538143200,80.0,-42.88,147.33,42.8,8.05
69,miri,76.0,NG,1538143941,68.0,10.31,9.75,84.61,4.29
71,tasiilaq,40.0,GL,1538142600,100.0,65.61,-37.64,35.6,1.12
72,mount gambier,80.0,AU,1538143942,61.0,-37.83,140.78,46.63,5.64
73,mar del plata,20.0,AR,1538143918,54.0,-46.43,-67.52,61.3,11.68
74,te anau,36.0,NZ,1538144003,74.0,-45.41,167.72,44.29,16.26
75,massaguet,0.0,TD,1538139600,41.0,12.48,15.44,95.0,5.82
76,fortuna,40.0,ES,1538143200,39.0,38.18,-1.13,82.4,3.36
77,shelburne,1.0,CA,1538139600,87.0,44.08,-80.2,57.2,8.05
79,victoria,75.0,BN,1538143200,88.0,5.28,115.24,80.6,2.95
80,tiksi,48.0,RU,1538144209,96.0,71.64,128.87,24.85,5.53
81,boromo,8.0,BF,1538144210,72.0,11.74,-2.93,91.27,5.08
82,bethal,92.0,ZA,1538144211,34.0,-26.46,29.47,74.62,13.69
83,yakeshi,0.0,CN,1538144212,86.0,49.28,120.73,38.26,6.98
84,lesnyye polyany,75.0,RU,1538141400,87.0,55.97,37.87,59.0,20.13
85,los llanos de aridane,20.0,ES,1538143200,65.0,28.66,-17.92,80.6,13.87
86,narsaq,75.0,GL,1538142600,70.0,60.91,-46.05,42.8,18.34
87,natal,20.0,BR,1538143200,43.0,-5.81,-35.21,87.8,19.46
88,nara,75.0,JP,1538141400,73.0,34.68,135.8,71.6,6.93
89,kavaratti,36.0,IN,1538144219,100.0,10.57,72.64,83.62,12.46
90,lavrentiya,32.0,RU,1538144221,89.0,65.58,-170.99,44.74,24.76
91,iqaluit,75.0,CA,1538139600,95.0,63.75,-68.52,32.0,11.41
92,ancud,92.0,CL,1538144223,99.0,-41.87,-73.83,51.04,8.99
93,danjiangkou,0.0,CN,1538144224,80.0,32.54,111.51,57.61,4.97
94,sao joao da barra,0.0,BR,1538139600,62.0,-21.64,-41.05,84.2,5.82
95,thunder bay,75.0,CA,1538143200,93.0,48.41,-89.26,41.0,4.7
96,calbuco,90.0,CL,1538139600,87.0,-41.77,-73.13,51.8,19.46
97,iracoubo,64.0,GF,1538144229,70.0,5.48,-53.21,85.33,5.64
98,abu samrah,0.0,SY,1538144230,22.0,35.3,37.18,89.74,9.78
99,flin flon,75.0,CA,1538143200,58.0,54.77,-101.88,28.4,2.24
100,kanniyakumari,36.0,IN,1538144232,95.0,8.08,77.57,82.54,13.02
102,tautira,0.0,PF,1538141400,77.0,-17.73,-149.15,69.8,3.29
103,shunyi,0.0,CN,1538141400,93.0,40.13,116.65,55.4,4.47
104,hatillo,1.0,PR,1538142600,92.0,18.49,-66.83,84.2,12.75
105,puerto cabezas,40.0,NI,1538139600,88.0,14.04,-83.39,77.0,4.7
106,vaini,100.0,IN,1538144239,99.0,15.34,74.49,69.22,0.49
107,katherine,0.0,AU,1538143200,25.0,-14.47,132.26,84.2,11.41
108,puro,100.0,PH,1538144241,93.0,13.13,123.76,79.21,9.89
109,karema,88.0,TZ,1538144243,35.0,-6.82,30.44,83.08,4.97
110,atuona,92.0,PF,1538144245,100.0,-9.8,-139.03,77.95,11.45
111,ugoofaaru,88.0,MV,1538144246,100.0,5.67,73.0,81.73,22.3
112,cancun,75.0,MX,1538138520,94.0,21.17,-86.85,80.6,3.36
113,ubinskoye,0.0,RU,1538144244,58.0,55.31,79.68,57.61,9.89
114,gorno-altaysk,8.0,RU,1538144250,80.0,51.96,85.96,49.06,2.73
116,hermanus,8.0,ZA,1538144252,52.0,-34.42,19.24,59.59,11.01
117,pimentel,0.0,BR,1538144253,51.0,-3.7,-45.5,93.43,7.54
118,meulaboh,64.0,ID,1538144254,100.0,4.14,96.13,79.84,5.3
119,quelimane,0.0,MZ,1538139600,58.0,-17.88,36.89,86.0,16.11
120,lhokseumawe,36.0,ID,1538144257,100.0,5.18,97.15,80.65,1.72
121,ribeira grande,20.0,PT,1538143200,83.0,38.52,-28.7,78.8,9.17
123,woodway,1.0,US,1538142960,89.0,47.79,-122.38,59.0,4.7
124,belmonte,24.0,PT,1538144261,59.0,40.36,-7.35,76.69,3.96
125,alice springs,100.0,AU,1538143200,8.0,-23.7,133.88,75.2,13.87
127,nisia floresta,20.0,BR,1538143200,43.0,-6.09,-35.21,87.8,19.46
128,provideniya,80.0,RU,1538144266,91.0,64.42,-173.23,46.81,31.59
129,lorengau,44.0,PG,1538144267,100.0,-2.02,147.27,82.63,10.0
130,dumai,12.0,ID,1538144268,92.0,1.68,101.45,77.59,0.83
132,aklavik,90.0,CA,1538143200,86.0,68.22,-135.01,33.8,9.17
133,luderitz,0.0,NA,1538144272,68.0,-26.65,15.16,65.08,25.43
134,ponta do sol,64.0,BR,1538144273,51.0,-20.63,-46.0,83.71,6.31
136,tiznit,68.0,MA,1538144275,98.0,29.7,-9.73,74.62,8.66
137,rio grande,90.0,BR,1538139600,94.0,-32.03,-52.1,68.0,14.99
138,svetlogorsk,75.0,RU,1538141400,70.0,53.14,59.15,44.6,13.42
139,laguna,5.0,MX,1538139540,88.0,27.52,-110.01,75.2,2.24
140,kamien pomorski,20.0,PL,1538143200,58.0,53.97,14.77,57.2,18.34
141,divnomorskoye,88.0,RU,1538144281,76.0,44.5,38.13,63.55,2.62
142,amalapuram,0.0,IN,1538144282,74.0,16.58,82.0,82.9,6.08
143,wembley,0.0,GB,1538142600,39.0,51.55,-0.3,62.6,13.87
144,saint george,75.0,GR,1538142600,52.0,39.45,22.34,64.4,3.36
145,kapaa,90.0,US,1538142960,96.0,22.08,-159.32,75.92,12.75
146,longyearbyen,40.0,NO,1538142600,58.0,78.22,15.63,26.6,19.46
147,montgomery,90.0,US,1538143020,94.0,32.37,-86.3,75.02,3.51
148,pokhara,36.0,NP,1538144289,73.0,28.21,83.99,61.39,2.73
149,klaksvik,92.0,FO,1538142600,93.0,62.23,-6.59,44.6,18.34
150,cabo san lucas,75.0,MX,1538138700,83.0,22.89,-109.91,77.0,3.06
151,udachnyy,80.0,RU,1538144293,95.0,66.42,112.4,39.25,2.62
152,comodoro rivadavia,40.0,AR,1538139600,62.0,-45.87,-67.48,55.4,12.75
153,waipawa,20.0,NZ,1538144295,90.0,-39.94,176.59,40.42,6.76
154,ulaangom,0.0,MN,1538144296,83.0,49.98,92.07,31.87,2.62
155,port lincoln,44.0,AU,1538144297,100.0,-34.72,135.86,48.61,7.87
156,isangel,100.0,VU,1538144298,100.0,-19.55,169.27,67.51,20.4
157,kolokani,8.0,ML,1538144299,63.0,13.58,-8.03,92.89,3.74
158,washington,75.0,US,1538142960,72.0,38.9,-77.04,64.94,9.17
159,tupiza,8.0,BO,1538144302,13.0,-21.44,-65.72,61.75,3.62
160,quatre cocos,75.0,MU,1538139600,64.0,-20.21,57.76,75.2,13.87
161,loikaw,8.0,MM,1538144304,96.0,19.67,97.21,70.84,2.51
162,sambava,88.0,MG,1538144305,100.0,-14.27,50.17,73.45,20.18
163,talnakh,36.0,RU,1538144306,84.0,69.49,88.39,48.07,8.99
165,thompson,90.0,CA,1538143200,73.0,55.74,-97.86,26.6,6.93
166,ostrovnoy,92.0,RU,1538144310,93.0,68.05,39.51,40.69,23.09
167,hasaki,75.0,JP,1538141400,93.0,35.73,140.83,62.6,3.36
168,namatanai,0.0,PG,1538144312,100.0,-3.66,152.44,82.27,16.82
169,maumere,0.0,ID,1538144313,100.0,-8.63,122.22,80.47,3.62
170,moerai,20.0,PF,1538144315,100.0,-22.43,-151.33,71.29,5.3
171,talavera de la reina,0.0,ES,1538144301,37.0,39.96,-4.83,80.74,4.07
172,hilo,1.0,US,1538142960,84.0,19.71,-155.08,73.94,4.7
173,san policarpo,64.0,PH,1538144318,92.0,12.18,125.51,82.09,8.66
174,mazagao,40.0,BR,1538139600,62.0,-0.12,-51.29,89.6,13.87
175,ayagoz,56.0,KZ,1538144320,47.0,47.96,80.43,56.26,7.99
176,bambous virieux,75.0,MU,1538139600,64.0,-20.34,57.76,75.2,13.87
177,madang,48.0,PG,1538144323,100.0,-5.21,145.81,74.17,1.28
178,haines junction,76.0,CA,1538144324,96.0,60.75,-137.51,27.19,1.95
179,bani,76.0,PH,1538144325,97.0,15.89,120.27,77.59,3.96
181,sinnamary,44.0,GF,1538144327,91.0,5.38,-52.96,84.16,10.78
182,sisimiut,88.0,GL,1538144329,96.0,66.94,-53.67,32.32,5.86
183,torbay,90.0,CA,1538143200,100.0,47.66,-52.73,53.6,14.99
184,puerto ayora,75.0,EC,1538139600,78.0,-0.74,-90.35,71.6,5.82
185,santa rosa,90.0,AR,1538138400,100.0,-36.62,-64.29,55.4,16.11
187,acapulco,75.0,MX,1538142540,78.0,16.86,-99.88,80.6,3.36
188,esil,76.0,KZ,1538144337,57.0,51.96,66.41,49.96,15.48
189,lebu,20.0,ET,1538143200,28.0,8.96,38.73,71.6,16.11
190,el jicaro,8.0,GT,1538144340,63.0,14.91,-89.89,74.08,1.95
191,coquimbo,0.0,CL,1538139600,76.0,-29.95,-71.34,57.2,2.24
192,college,1.0,US,1538143080,17.0,64.86,-147.8,33.26,10.29
193,oistins,20.0,BB,1538139600,88.0,13.07,-59.53,80.6,17.22
194,grand island,90.0,US,1538142900,73.0,40.92,-98.34,46.94,13.87
196,portland,1.0,US,1538142960,86.0,45.52,-122.67,53.96,5.82
197,avarua,75.0,CK,1538143200,68.0,-21.21,-159.78,71.6,5.82
199,san patricio,0.0,PY,1538144351,75.0,-26.98,-56.83,83.8,3.51
200,vila velha,40.0,BR,1538143200,48.0,-3.71,-38.6,87.8,23.04
201,hualmay,12.0,PE,1538144353,70.0,-11.1,-77.61,68.32,3.96
202,tokur,0.0,RU,1538144354,78.0,53.13,132.9,39.16,4.07
203,carnarvon,0.0,ZA,1538144355,7.0,-30.97,22.13,67.78,13.35
204,zeya,0.0,RU,1538144356,79.0,53.74,127.27,41.95,2.62
205,hay river,90.0,CA,1538143200,69.0,60.82,-115.79,35.6,17.22
206,champerico,75.0,MX,1538140920,94.0,16.38,-93.6,73.4,2.24
207,tallahassee,1.0,US,1538141700,94.0,30.44,-84.28,78.8,3.51
208,mozarlandia,0.0,BR,1538144361,42.0,-14.74,-50.57,96.49,3.18
210,coahuayana,0.0,MX,1538144364,78.0,18.62,-100.35,72.01,3.06
212,sioux lookout,75.0,CA,1538143200,93.0,50.1,-91.92,39.2,3.36
213,port elizabeth,90.0,US,1538142960,93.0,39.31,-74.98,66.02,11.41
214,olga,90.0,US,1538143920,89.0,34.11,-118.17,66.92,2.06
215,witu,76.0,KE,1538144369,89.0,-2.39,40.44,75.25,11.9
216,faya,40.0,SA,1538139600,15.0,18.39,42.45,84.2,20.8
217,anadyr,20.0,RU,1538139600,81.0,64.73,177.51,42.8,11.18
218,preobrazheniye,64.0,RU,1538144373,91.0,42.9,133.91,46.18,2.06
219,leh,68.0,IN,1538144374,62.0,34.16,77.58,22.42,1.16
220,talara,90.0,PE,1538139600,290.0,-4.58,-81.27,62.6,10.29
221,freeport,0.0,BS,1538144377,90.0,26.54,-78.7,85.15,13.69
222,leningradskiy,24.0,RU,1538144378,98.0,69.38,178.42,39.61,21.3
223,laela,12.0,TZ,1538144379,25.0,-8.57,32.05,80.11,7.99
224,bathsheba,20.0,BB,1538139600,88.0,13.22,-59.52,80.6,17.22
225,bogo,20.0,CM,1538139600,52.0,10.74,14.61,91.4,3.36
226,aksu,0.0,KZ,1538141400,58.0,52.04,76.93,59.0,8.95
227,srednekolymsk,44.0,RU,1538144384,85.0,67.46,153.71,22.87,3.4
228,saint-philippe,75.0,CA,1538144160,82.0,45.36,-73.48,60.8,11.41
230,talaya,0.0,RU,1538144387,75.0,55.79,84.89,56.35,8.55
232,chuy,92.0,UY,1538144390,95.0,-33.69,-53.46,62.92,21.41
233,nikolskoye,40.0,RU,1538141400,46.0,59.7,30.79,50.0,20.13
234,mudgee,36.0,AU,1538144392,54.0,-32.6,149.59,61.57,14.14
235,bumba,92.0,CD,1538144393,88.0,2.18,22.47,76.51,3.74
236,havelock,75.0,US,1538142840,88.0,34.88,-76.9,84.02,10.29
237,clyde river,75.0,CA,1538143200,85.0,70.47,-68.59,23.0,3.36
238,la ronge,90.0,CA,1538143200,68.0,55.1,-105.3,28.4,5.82
239,zhangjiakou,20.0,CN,1538144398,79.0,40.77,114.88,34.57,3.4
240,koumac,92.0,NC,1538144399,75.0,-20.56,164.28,70.75,14.14
241,mandalgovi,0.0,MN,1538144400,67.0,45.76,106.27,30.97,12.68
242,pampa,1.0,US,1538142900,89.0,35.54,-100.96,63.5,11.41
243,badin,90.0,US,1538143200,96.0,35.41,-80.12,73.04,4.7
244,falam,24.0,MM,1538144404,97.0,22.91,93.68,68.32,1.72
245,yantai,0.0,CN,1538144405,100.0,37.53,121.39,67.87,12.91
246,yumen,0.0,CN,1538144406,45.0,40.29,97.04,42.94,7.54
247,ouango,56.0,CD,1538144408,80.0,4.31,22.55,78.67,2.51
248,vestmannaeyjar,90.0,IS,1538139600,100.0,63.44,-20.27,46.4,35.57
249,belaya gora,88.0,RU,1538144410,100.0,68.54,146.19,32.32,8.1
250,avera,90.0,US,1538143740,79.0,33.19,-82.53,77.0,4.7
251,arcachon,0.0,FR,1538143200,60.0,44.65,-1.18,80.6,12.75
252,palu,76.0,ID,1538144414,96.0,-0.9,119.87,68.14,1.5
253,paka,0.0,HR,1538143200,28.0,45.29,18.06,71.6,6.93
254,moose factory,90.0,CA,1538143200,93.0,51.26,-80.61,37.4,17.22
255,saint-joseph,0.0,FR,1538143200,54.0,43.56,6.97,87.8,12.75
256,sibolga,64.0,ID,1538144419,100.0,1.74,98.78,70.39,1.5
257,quang ngai,36.0,VN,1538144420,96.0,15.12,108.8,72.64,2.06
258,fairbanks,1.0,US,1538143080,17.0,64.84,-147.72,33.26,10.29
259,bushehr,0.0,IR,1538139600,47.0,28.97,50.84,96.8,9.17
260,ridgecrest,75.0,US,1538142960,6.0,35.62,-117.67,60.08,2.06
261,ouadda,12.0,CF,1538144425,79.0,8.07,22.4,83.53,4.63
262,lazi,0.0,HR,1538143200,26.0,45.57,14.64,78.8,4.7
264,bakel,0.0,SN,1538144428,71.0,14.9,-12.46,92.8,12.35
265,chokurdakh,80.0,RU,1538144430,100.0,70.62,147.9,34.84,11.68
266,cherskiy,24.0,RU,1538144429,100.0,68.75,161.3,28.9,2.28
267,deputatskiy,80.0,RU,1538144432,92.0,69.3,139.9,28.63,11.9
268,vestmanna,92.0,FO,1538142600,93.0,62.16,-7.17,44.6,18.34
270,hokitika,92.0,NZ,1538144435,100.0,-42.72,170.96,48.52,5.64
272,ligayan,8.0,PH,1538144437,100.0,4.65,119.47,81.82,3.18
273,berezovyy,12.0,RU,1538144438,65.0,51.67,135.7,42.76,2.51
274,kenai,90.0,US,1538142960,92.0,60.55,-151.26,48.02,5.82
275,saldanha,0.0,PT,1538144441,31.0,41.42,-6.55,84.61,4.74
276,pevek,68.0,RU,1538144442,90.0,69.7,170.27,43.12,18.84
277,mackay,90.0,CA,1538143200,100.0,53.65,-115.58,30.2,2.24
278,humberto de campos,0.0,BR,1538144444,78.0,-2.6,-43.46,85.15,23.42
279,khandyga,0.0,RU,1538144446,67.0,62.65,135.58,32.41,7.99
281,luganville,92.0,VU,1538144448,100.0,-15.51,167.18,75.79,25.88
282,kruisfontein,0.0,ZA,1538144449,72.0,-34.0,24.73,63.73,24.99
283,severo-kurilsk,80.0,RU,1538144450,100.0,50.68,156.12,44.92,8.43
284,ndioum,8.0,SN,1538144451,43.0,16.51,-14.65,100.45,11.01
285,luau,24.0,CD,1538144453,36.0,-10.7,22.23,87.85,3.4
287,chumikan,76.0,RU,1538144455,54.0,54.72,135.31,58.51,10.78
288,nome,90.0,US,1538142900,86.0,30.04,-94.42,73.94,6.93
290,prince rupert,90.0,CA,1538143200,100.0,54.32,-130.32,50.0,3.36
291,codrington,0.0,AU,1538144460,90.0,-28.95,153.24,60.22,6.08
292,porto novo,75.0,BR,1538143200,78.0,-23.68,-45.44,71.6,3.36
293,fort nelson,75.0,CA,1538143200,92.0,58.81,-122.69,26.6,3.36
294,sakaiminato,40.0,JP,1538139600,77.0,35.55,133.23,62.6,4.7
295,upernavik,68.0,GL,1538144465,100.0,72.79,-56.15,33.13,10.22
296,sitka,32.0,US,1538144466,86.0,37.17,-99.65,62.56,7.09
297,marsh harbour,64.0,BS,1538144237,97.0,26.54,-77.06,84.52,15.7
298,point fortin,20.0,TT,1538139600,79.0,10.16,-61.68,86.0,6.93
